AREA,AG HOMING,PORT 1,PORT 2
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
VIS,LAHUG-VIS148-AGGFMN-X16A-01,Virtual-Ethernet11/0/0,Virtual-Ethernet11/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,VALERO-NCR733-AGGFMN-X16A-01,Virtual-Ethernet9/0/0,Virtual-Ethernet9/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NLZ,TARLAC-NL1576-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
NCR,SANJUAN-NCR1660-AGGFMN-X16A-01,Virtual-Ethernet2/0/0,Virtual-Ethernet2/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-01,Virtual-Ethernet2/0/0,Virtual-Ethernet2/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,CARMONA-SL590-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
MIN,ILIGAN-MIN826-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-01,Virtual-Ethernet2/0/0,Virtual-Ethernet2/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
VIS,LAHUG-VIS148-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
